"Datum (UTC)";"Import Saldo";"Kernenergie";"Nicht Erneuerbar";"Erneuerbar";"Day Ahead Auktion (ES)"
2015-01-01 00:00:00;-1171.75;7096;10577.5;9224.5;48.1
2015-01-01 01:00:00;-1635.74;7099;10059;8474;47.33
2015-01-01 02:00:00;-989.68;7098;8997.5;7624.5;42.27
2015-01-01 03:00:00;-773.1;7097;8450.5;7246.5;38.41
2015-01-01 04:00:00;-118.96;7098;8099;6925;35.72
2015-01-01 05:00:00;333.9;7098;7874;6808;35.13
2015-01-01 06:00:00;996.52;7099;7707.5;6596.5;36.22
2015-01-01 07:00:00;919.62;7098;7867;6284;32.4
2015-01-01 08:00:00;1061.25;7097;8056;6806;36.6
2015-01-01 09:00:00;1243.57;7096;8060;8156;43.1
2015-01-01 10:00:00;620.3;7097;8313;9150;45.14
2015-01-01 11:00:00;172.63;7097;8619.5;9654.5;45.14
2015-01-01 12:00:00;337.65;7099;8758;9861;47.35
2015-01-01 13:00:00;785.63;7097;8606;9577;47.35
2015-01-01 14:00:00;341.62;7096;8234;9303;43.61
2015-01-01 15:00:00;438.11;7095;8569.5;8430.5;44.91
2015-01-01 16:00:00;1001.97;7095;9306;7433;48.1
2015-01-01 17:00:00;1942.8;7096;10104.5;8070.5;58.02
2015-01-01 18:00:00;1670.53;7096;9924;10160;61.01
2015-01-01 19:00:00;1561.71;7096;9969;11239;62.69
2015-01-01 20:00:00;1428.62;7096;10355;11522;60.41
2015-01-01 21:00:00;1478.13;7098;10484;10738;58.15
2015-01-01 22:00:00;1229.36;7098;10254.5;8805.5;53.6
2015-01-01 23:00:00;104.17;7099;10349;7431;47.34
2015-01-02 00:00:00;-260.07;7098;10212;5906;40.4
2015-01-02 01:00:00;-394.75;7099;9985;5351;36
2015-01-02 02:00:00;-498.27;7098;9837;5050;37
2015-01-02 03:00:00;-252.58;7100;9444.5;5011.5;35.99
2015-01-02 04:00:00;-25.79;7100;9500.5;5262.5;37.98
2015-01-02 05:00:00;610.38;7101;10194;5662;43.61
2015-01-02 06:00:00;1344.92;7101;10716;6119;56.1
2015-01-02 07:00:00;1392.17;7099;11337.5;8066.5;57.69
2015-01-02 08:00:00;2283.8;7097;11510;9929;60.01
2015-01-02 09:00:00;2399.93;7098;12099;11133;62.25
2015-01-02 10:00:00;1855.15;7097;11743.5;11983.5;60.01
2015-01-02 11:00:00;1652.97;7095;12047;11342;59.97
2015-01-02 12:00:00;1284.15;7096;12226.5;11400.5;59.69
2015-01-02 13:00:00;889.6;7098;12046.5;11252.5;58.69
2015-01-02 14:00:00;1127.78;7097;11957;10143;58.13
2015-01-02 15:00:00;1052.06;7097;12453.5;9507.5;59
2015-01-02 16:00:00;1324.63;7096;12850.5;9681.5;59.69
2015-01-02 17:00:00;2006.63;7095;14199;10343;63.76
2015-01-02 18:00:00;1694.51;7096;14803.5;10841.5;65.01
2015-01-02 19:00:00;1650.63;7096;14892.5;11029.5;65.01
2015-01-02 20:00:00;1393.81;7096;14409;11691;61.75
2015-01-02 21:00:00;797.72;7094;13953.5;11139.5;59.96
2015-01-02 22:00:00;909.01;7096;12775.5;9645.5;58.69
2015-01-02 23:00:00;41.37;7098;12360.5;8008.5;52.1
2015-01-03 00:00:00;-452.77;7097;12200.5;6372.5;47.84
2015-01-03 01:00:00;-242.78;7101;11424;5446;43.66
2015-01-03 02:00:00;-39.97;7101;11228.5;4995.5;43.66
2015-01-03 03:00:00;-115.47;7101;10977;4988;41.98
2015-01-03 04:00:00;252.32;7101;10590;5104;43.93
2015-01-03 05:00:00;460.2;7101;10841;5464;46.02
2015-01-03 06:00:00;773.76;7100;10780;5863;50.92
2015-01-03 07:00:00;995.65;7100;11319;6386;55.57
2015-01-03 08:00:00;1548.02;7097;11206;8217;58.1
2015-01-03 09:00:00;1841.77;7096;11246.5;10200.5;59.8
2015-01-03 10:00:00;1172.91;7099;11205.5;11419.5;59.51
2015-01-03 11:00:00;938.28;7100;11307.5;10952.5;59
2015-01-03 12:00:00;530.66;7100;11676;10718;58.13
2015-01-03 13:00:00;232.03;7100;11631.5;10703.5;56.9
2015-01-03 14:00:00;-456.31;7098;11216;10845;52.69
