time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150101:0010,0.0,0.0,0.0,0.0,0.0,3.6,0.41,0.0
20150101:0110,0.0,0.0,0.0,0.0,0.0,3.3,0.55,0.0
20150101:0210,0.0,0.0,0.0,0.0,0.0,3.09,0.62,0.0
20150101:0310,0.0,0.0,0.0,0.0,0.0,2.78,0.83,0.0
20150101:0410,0.0,0.0,0.0,0.0,0.0,1.95,1.1,0.0
20150101:0510,0.0,0.0,0.0,0.0,0.0,0.5,1.38,0.0
20150101:0610,0.0,0.0,0.0,0.0,0.0,-1.12,1.72,0.0
20150101:0710,0.0,0.0,0.0,0.0,0.0,-1.73,1.93,0.0
20150101:0810,19504000.0,186.64,44.95,1.13,5.06,-1.99,2.0,0.0
20150101:0910,48430000.0,455.66,95.5,4.11,13.98,0.5,1.66,0.0
20150101:1010,64110000.0,638.93,112.94,6.64,21.23,5.02,1.86,0.0
20150101:1110,74101000.0,768.74,112.28,8.39,26.18,6.61,2.41,0.0
20150101:1210,76044000.0,794.22,121.71,9.07,28.26,7.84,2.21,0.0
20150101:1310,73417000.0,783.76,103.46,8.77,27.19,8.72,2.0,0.0
20150101:1410,62980000.0,642.31,110.83,7.28,23.12,9.14,1.86,0.0
20150101:1510,46687000.0,456.06,97.32,4.93,16.55,9.04,1.66,0.0
20150101:1610,24012000.0,234.21,62.21,2.06,8.11,8.13,1.38,0.0
20150101:1710,0.0,0.0,0.0,0.0,0.0,6.28,1.31,0.0
20150101:1810,0.0,0.0,0.0,0.0,0.0,4.31,1.1,0.0
20150101:1910,0.0,0.0,0.0,0.0,0.0,3.84,1.03,0.0
20150101:2010,0.0,0.0,0.0,0.0,0.0,2.36,1.17,0.0
20150101:2110,0.0,0.0,0.0,0.0,0.0,2.29,1.1,0.0
20150101:2210,0.0,0.0,0.0,0.0,0.0,2.23,0.76,0.0
20150101:2310,0.0,0.0,0.0,0.0,0.0,2.0,0.76,0.0
20150102:0010,0.0,0.0,0.0,0.0,0.0,1.71,0.9,0.0
20150102:0110,0.0,0.0,0.0,0.0,0.0,1.42,1.03,0.0
20150102:0210,0.0,0.0,0.0,0.0,0.0,0.57,1.17,0.0
20150102:0310,0.0,0.0,0.0,0.0,0.0,0.42,1.17,0.0
20150102:0410,0.0,0.0,0.0,0.0,0.0,0.95,1.1,0.0
20150102:0510,0.0,0.0,0.0,0.0,0.0,0.73,1.17,0.0
20150102:0610,0.0,0.0,0.0,0.0,0.0,0.55,1.24,0.0
20150102:0710,0.0,0.0,0.0,0.0,0.0,-0.51,1.17,0.0
20150102:0810,20452000.0,201.64,42.97,1.15,5.05,-0.46,1.17,0.0
20150102:0910,46647000.0,436.56,100.68,4.06,13.99,1.17,0.76,0.0
20150102:1010,63043000.0,637.83,112.73,6.64,21.26,5.0,0.83,0.0
20150102:1110,71660000.0,753.7,120.92,8.37,26.23,7.63,1.03,0.0
20150102:1210,75217000.0,824.75,105.64,9.17,28.35,9.38,1.17,0.0
20150102:1310,71102000.0,755.78,119.07,8.72,27.3,10.39,1.31,0.0
20150102:1410,62535000.0,655.98,105.04,7.35,23.24,10.79,1.24,0.0
20150102:1510,46760000.0,466.87,94.57,5.01,16.68,10.59,1.17,0.0
20150102:1610,23436000.0,225.59,65.72,2.08,8.24,9.6,1.31,0.0
20150102:1710,0.0,0.0,0.0,0.0,0.0,7.48,1.1,0.0
20150102:1810,0.0,0.0,0.0,0.0,0.0,5.63,1.03,0.0
20150102:1910,0.0,0.0,0.0,0.0,0.0,4.25,1.17,0.0
20150102:2010,0.0,0.0,0.0,0.0,0.0,3.24,1.17,0.0
20150102:2110,0.0,0.0,0.0,0.0,0.0,2.11,1.31,0.0
20150102:2210,0.0,0.0,0.0,0.0,0.0,1.72,1.38,0.0
20150102:2310,0.0,0.0,0.0,0.0,0.0,1.69,1.38,0.0
20150103:0010,0.0,0.0,0.0,0.0,0.0,1.81,1.31,0.0
20150103:0110,0.0,0.0,0.0,0.0,0.0,2.32,1.24,0.0
20150103:0210,0.0,0.0,0.0,0.0,0.0,3.11,1.1,0.0
20150103:0310,0.0,0.0,0.0,0.0,0.0,3.31,1.1,0.0
20150103:0410,0.0,0.0,0.0,0.0,0.0,3.32,1.03,0.0
20150103:0510,0.0,0.0,0.0,0.0,0.0,3.2,0.9,0.0
20150103:0610,0.0,0.0,0.0,0.0,0.0,2.98,0.76,0.0
20150103:0710,0.0,0.0,0.0,0.0,0.0,1.65,1.1,0.0
20150103:0810,20282000.0,201.28,42.9,1.15,5.04,0.93,1.24,0.0
20150103:0910,46343000.0,435.64,100.48,4.06,14.01,2.48,0.9,0.0
20150103:1010,62354000.0,638.71,112.65,6.66,21.29,6.46,0.55,0.0
20150103:1110,70358000.0,754.2,120.76,8.39,26.3,9.74,0.62,0.0
20150103:1210,72640000.0,794.87,122.89,9.12,28.43,11.3,0.55,0.0
20150103:1310,70222000.0,772.7,111.91,8.81,27.41,12.14,0.62,0.0
20150103:1410,60634000.0,632.68,117.36,7.32,23.36,12.48,0.69,0.0
20150103:1510,47231000.0,488.16,87.63,5.12,16.82,12.3,0.69,0.0
20150103:1610,25246000.0,258.13,58.43,2.18,8.38,11.46,0.83,0.0
20150103:1710,0.0,0.0,0.0,0.0,0.0,9.07,0.76,0.0
20150103:1810,0.0,0.0,0.0,0.0,0.0,7.72,0.83,0.0
20150103:1910,0.0,0.0,0.0,0.0,0.0,7.08,0.76,0.0
20150103:2010,0.0,0.0,0.0,0.0,0.0,5.97,0.76,0.0
20150103:2110,0.0,0.0,0.0,0.0,0.0,5.18,0.76,0.0
20150103:2210,0.0,0.0,0.0,0.0,0.0,4.74,0.9,0.0
20150103:2310,0.0,0.0,0.0,0.0,0.0,4.32,0.97,0.0
20150104:0010,0.0,0.0,0.0,0.0,0.0,4.01,0.97,0.0
20150104:0110,0.0,0.0,0.0,0.0,0.0,3.87,0.9,0.0
20150104:0210,0.0,0.0,0.0,0.0,0.0,3.82,1.03,0.0
20150104:0310,0.0,0.0,0.0,0.0,0.0,3.33,1.17,0.0
20150104:0410,0.0,0.0,0.0,0.0,0.0,2.58,1.31,0.0
20150104:0510,0.0,0.0,0.0,0.0,0.0,1.94,1.45,0.0
20150104:0610,0.0,0.0,0.0,0.0,0.0,1.26,1.59,0.0
20150104:0710,0.0,0.0,0.0,0.0,0.0,1.48,1.45,0.0
20150104:0810,20118000.0,200.71,42.81,1.15,5.04,2.11,1.38,0.0
20150104:0910,47108000.0,452.76,94.92,4.11,14.03,3.71,1.03,0.0
20150104:1010,62143000.0,637.3,112.37,6.66,21.34,7.02,0.62,0.0
20150104:1110,70011000.0,740.91,127.7,8.37,26.37,10.32,0.83,0.0
20150104:1210,72507000.0,781.86,129.7,9.1,28.53,12.03,0.9,0.0
20150104:1310,70043000.0,759.55,118.74,8.79,27.53,13.12,1.03,0.0
20150104:1410,61355000.0,647.97,110.2,7.39,23.5,13.56,1.1,0.0
20150104:1510,46666000.0,472.91,94.18,5.1,16.96,13.41,1.31,0.0
20150104:1610,24955000.0,249.22,63.96,2.22,8.52,12.4,1.24,0.0
20150104:1710,0.0,0.0,0.0,0.0,0.0,10.19,1.1,0.0
20150104:1810,0.0,0.0,0.0,0.0,0.0,8.57,0.97,0.0
20150104:1910,0.0,0.0,0.0,0.0,0.0,8.33,0.76,0.0
20150104:2010,0.0,0.0,0.0,0.0,0.0,7.55,0.76,0.0
20150104:2110,0.0,0.0,0.0,0.0,0.0,6.78,0.9,0.0
20150104:2210,0.0,0.0,0.0,0.0,0.0,6.05,1.03,0.0
20150104:2310,0.0,0.0,0.0,0.0,0.0,4.99,1.17,0.0
20150105:0010,0.0,0.0,0.0,0.0,0.0,5.03,1.17,0.0
20150105:0110,0.0,0.0,0.0,0.0,0.0,5.32,1.1,0.0
20150105:0210,0.0,0.0,0.0,0.0,0.0,5.49,1.03,0.0
20150105:0310,0.0,0.0,0.0,0.0,0.0,5.49,0.97,0.0
20150105:0410,0.0,0.0,0.0,0.0,0.0,5.39,0.83,0.0
20150105:0510,0.0,0.0,0.0,0.0,0.0,5.1,0.76,0.0
20150105:0610,0.0,0.0,0.0,0.0,0.0,4.77,0.9,0.0
20150105:0710,0.0,0.0,0.0,0.0,0.0,3.23,1.1,0.0
20150105:0810,19947000.0,199.91,42.69,1.15,5.05,2.86,1.24,0.0
20150105:0910,46097000.0,435.9,100.22,4.08,14.06,3.77,0.97,0.0
20150105:1010,62139000.0,637.88,112.22,6.68,21.39,7.14,0.62,0.0
20150105:1110,70632000.0,756.71,118.88,8.43,26.45,10.27,0.9,0.0
20150105:1210,73491000.0,798.71,121.03,9.17,28.64,11.76,1.1,0.0
20150105:1310,70909000.0,761.22,118.53,8.83,27.65,12.71,1.52,0.0
20150105:1410,62154000.0,649.59,111.51,7.44,23.64,13.13,1.59,0.0
20150105:1510,46283000.0,457.7,102.05,5.1,17.1,13.0,1.52,0.0
20150105:1610,24042000.0,234.7,66.68,2.2,8.67,12.17,1.31,0.0
20150105:1710,0.0,0.0,0.0,0.0,0.0,10.32,1.45,0.0
20150105:1810,0.0,0.0,0.0,0.0,0.0,7.48,1.31,0.0
20150105:1910,0.0,0.0,0.0,0.0,0.0,5.82,1.38,0.0
20150105:2010,0.0,0.0,0.0,0.0,0.0,5.49,1.17,0.0
20150105:2110,0.0,0.0,0.0,0.0,0.0,4.98,1.1,0.0
20150105:2210,0.0,0.0,0.0,0.0,0.0,4.34,1.1,0.0
20150105:2310,0.0,0.0,0.0,0.0,0.0,3.73,1.1,0.0
20150106:0010,0.0,0.0,0.0,0.0,0.0,3.31,1.1,0.0
20150106:0110,0.0,0.0,0.0,0.0,0.0,2.95,1.03,0.0
20150106:0210,0.0,0.0,0.0,0.0,0.0,2.56,1.03,0.0
20150106:0310,0.0,0.0,0.0,0.0,0.0,2.5,1.03,0.0
20150106:0410,0.0,0.0,0.0,0.0,0.0,2.66,0.9,0.0
20150106:0510,0.0,0.0,0.0,0.0,0.0,2.52,0.83,0.0
20150106:0610,0.0,0.0,0.0,0.0,0.0,2.47,0.76,0.0
