time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150101:0010,0.0,0.0,0.0,0.0,0.0,1.68,0.55,0.0
20150101:0110,0.0,0.0,0.0,0.0,0.0,1.28,0.55,0.0
20150101:0210,0.0,0.0,0.0,0.0,0.0,1.54,0.34,0.0
20150101:0310,0.0,0.0,0.0,0.0,0.0,1.58,0.34,0.0
20150101:0410,0.0,0.0,0.0,0.0,0.0,1.61,0.34,0.0
20150101:0510,0.0,0.0,0.0,0.0,0.0,1.67,0.41,0.0
20150101:0610,0.0,0.0,0.0,0.0,0.0,1.82,0.55,0.0
20150101:0710,0.0,0.0,0.0,0.0,0.0,-0.18,1.1,0.0
20150101:0810,12.01,1.13,24.83,0.0,5.15,0.83,0.55,0.0
20150101:0910,51.84,4.29,71.07,0.0,11.22,1.38,0.28,0.0
20150101:1010,76.87,3.18,100.04,0.0,15.42,1.3,0.97,0.0
20150101:1110,64.27,0.0,88.99,0.0,17.38,2.84,1.79,0.0
20150101:1210,54.75,0.0,77.99,0.0,16.92,2.5,1.24,0.0
20150101:1310,49.41,0.0,71.99,0.0,14.08,3.12,0.97,0.0
20150101:1410,22.19,0.0,39.0,0.0,9.13,2.72,1.17,0.0
20150101:1510,2.14,1.27,9.85,0.0,2.46,3.39,0.97,0.0
20150101:1610,0.0,0.0,0.0,0.0,0.0,2.33,1.31,0.0
20150101:1710,0.0,0.0,0.0,0.0,0.0,-0.24,1.66,0.0
20150101:1810,0.0,0.0,0.0,0.0,0.0,-1.05,1.66,0.0
20150101:1910,0.0,0.0,0.0,0.0,0.0,-1.69,2.28,0.0
20150101:2010,0.0,0.0,0.0,0.0,0.0,-0.42,2.34,0.0
20150101:2110,0.0,0.0,0.0,0.0,0.0,0.14,2.41,0.0
20150101:2210,0.0,0.0,0.0,0.0,0.0,0.39,2.48,0.0
20150101:2310,0.0,0.0,0.0,0.0,0.0,0.35,2.41,0.0
20150102:0010,0.0,0.0,0.0,0.0,0.0,0.51,2.48,0.0
20150102:0110,0.0,0.0,0.0,0.0,0.0,0.42,2.9,0.0
20150102:0210,0.0,0.0,0.0,0.0,0.0,0.16,3.24,0.0
20150102:0310,0.0,0.0,0.0,0.0,0.0,0.17,3.52,0.0
20150102:0410,0.0,0.0,0.0,0.0,0.0,0.34,3.79,0.0
20150102:0510,0.0,0.0,0.0,0.0,0.0,0.66,4.14,0.0
20150102:0610,0.0,0.0,0.0,0.0,0.0,1.17,4.48,0.0
20150102:0710,0.0,0.0,0.0,0.0,0.0,1.6,5.1,0.0
20150102:0810,15.18,2.27,28.6,0.0,5.17,1.82,5.17,0.0
20150102:0910,21.5,0.0,38.0,0.0,11.26,2.25,5.03,0.0
20150102:1010,30.29,0.0,49.0,0.0,15.48,2.74,5.03,0.0
20150102:1110,30.24,0.0,49.0,0.0,17.46,3.11,5.17,0.0
20150102:1210,33.49,0.0,53.0,0.0,17.02,3.35,5.03,0.0
20150102:1310,46.92,0.0,68.99,0.0,14.19,3.53,4.69,0.0
20150102:1410,32.42,1.09,51.02,0.0,9.25,3.74,4.41,0.0
20150102:1510,4.45,7.54,11.92,0.0,2.59,3.88,4.07,0.0
20150102:1610,0.0,0.0,0.0,0.0,0.0,4.03,3.72,0.0
20150102:1710,0.0,0.0,0.0,0.0,0.0,4.16,3.52,0.0
20150102:1810,0.0,0.0,0.0,0.0,0.0,4.24,3.24,0.0
